serial,real_serial,latitude,longitude,height
157,-1408237563,51.412,-0.843,50
158,-1408237563,51.412,-0.843,50
169,-1408237566,51.4046,-0.2487,36
184,-1408237458,52.99,-0.411,8
207,-1408237405,51.6418,-0.723,168
244,-1408237226,51.4416,-1.025,54
279,-1408237119,52.9835,-0.0232,5.37
357,-1408236950,51.1703,0.8729,1200
463,-1408236703,51.1776,-0.9228,150
491,-1408236629,52.7895,-0.1411,6
511,-1408236561,51.541242,0.735821,29
610,-1408236301,51.5224,-0.6715,10
618,-1408236292,51.5612,0.229,38
644,-1408236216,52.3717,1.10008,30.572
83,90593,50.25581,8.67624999999998,237.1344
183,-1408237460,49.9943,8.6604,136
196,-1408237420,49.15336,7.78477,239
260,-1408237157,47.8358,12.0473,470
297,-1408237083,48.2459,11.6559,493
309,-1408237055,47.44561,8.59486,488
310,-1408237048,47.4076,8.511,575
359,-1408236946,47.44342,8.62851,460
363,-1408236940,49.8503,6.8093,230
372,1408236931,47.4233,8.5398,420
380,-1408236908,48.4796,7.9516,165
421,-1408236809,47.44277,8.63818,490
422,-1408236809,47.44277,8.63818,490
444,-1408236745,49.55713,10.86463,331
471,90654,47.56561,7.52137,330
489,-1408236633,48.2151,10.18,537
492,-1408236623,49.9901,8.4154,107
558,-1408236446,50.3776,8.89724,427
578,-1408236393,50.7015,8.314159,270
584,-1408236377,49.127,8.5192,125
590,-1408236365,48.266406,11.668269,493.3066
603,-1408236339,50.123,8.69833,121
607,-1408236318,48.0937,11.6352,544
614,-1408236299,49.4052,11.1772,341
634,-1408236246,50.697,7.165,74
642,-1408236221,47.3619,8.3593,530
678,-1408236085,48.0281,10.7168,628
696,-1408236036,49.0756,12.2011,364
